date,BTC_CAD,ADA_CAD
2021-09-07,59200.398438,3.164813
2021-09-08,58510.207031,3.141847
2021-09-09,58757.890625,3.188795
2021-09-10,56970.023438,3.028377
2021-09-11,57373.082031,3.343206
2021-09-12,58422.550781,3.274432
2021-09-13,56875.679688,3.0367
2021-09-14,59766.96875,3.0404
2021-09-15,60791.613281,3.156703
2021-09-16,60599.1875,3.070289
2021-09-17,60314.300781,2.994078
2021-09-18,61604.15625,3.024139
2021-09-19,60334.046875,2.913662
2021-09-20,54853.777344,2.642567
2021-09-21,52156.71875,2.546756
2021-09-22,55717.636719,2.897711
2021-09-23,56849.671875,2.951619
2021-09-24,54203.039063,2.886378
2021-09-25,54045.035156,2.91191
2021-09-26,54659.105469,2.793762
2021-09-27,53329.707031,2.696939
2021-09-28,52021.050781,2.585094
2021-09-29,53012.933594,2.634665
2021-09-30,55546.472656,2.682073
2021-10-01,60851.089844,2.855741
2021-10-02,60338.332031,2.847308
2021-10-03,60873.070313,2.845216
2021-10-04,61834.863281,2.756323
2021-10-05,64823.355469,2.810039
2021-10-06,69678.695313,2.78425
2021-10-07,67519.570313,2.857335
2021-10-08,67312.476563,2.790362
2021-10-09,68560.21875,2.827081
2021-10-10,68382.484375,2.7432280000000002
2021-10-11,71755.390625,2.712933
2021-10-12,69925.84375,2.644243
2021-10-13,71400.648438,2.722941
2021-10-14,70937.625,2.685909
2021-10-15,76176.9375,2.738991
2021-10-16,75309.015625,2.693308
2021-10-17,76170.078125,2.669153
2021-10-18,76744.554688,2.63329
2021-10-19,79398.328125,2.610651
2021-10-20,81340.789063,2.694336
2021-10-21,76962.007813,2.643239
2021-10-22,75045.078125,2.663635
2021-10-23,75912.289063,2.679235
2021-10-24,75385.335938,2.627173
2021-10-25,78049.546875,2.654566
2021-10-26,74803.234375,2.650387
2021-10-27,72345.34375,2.366761
2021-10-28,74853.671875,2.454969
2021-10-29,77081.15625,2.492475
2021-10-30,76661.078125,2.424639
2021-10-31,75934.820313,2.433405
2021-11-01,75488.6875,2.412991
2021-11-02,78451.195313,2.446081
2021-11-03,77946.273438,2.554513
2021-11-04,76526.773438,2.471783
2021-11-05,76126.40625,2.473637
2021-11-06,76626.820313,2.499047
2021-11-07,78850.96875,2.517514
2021-11-08,84072.054688,2.643372
2021-11-09,83291.320313,2.827479
2021-11-10,81162.859375,2.624627
2021-11-11,81766.484375,2.625497
2021-11-12,80523.40625,2.567682
2021-11-13,80916.992188,2.576891
2021-11-14,82136.203125,2.560501
2021-11-15,79543.4375,2.522532
2021-11-16,75600.125,2.35898
2021-11-17,76131.671875,2.365292
2021-11-18,71765.257813,2.253868
2021-11-19,73473.609375,2.357434
2021-11-20,75468,2.429421
2021-11-21,74322.125,2.32818
2021-11-22,71500.0625,2.256624
2021-11-23,72977.148438,2.219016
2021-11-24,71258.054688,2.135222
2021-11-25,72534.3125,2.091311
2021-11-26,68511.445313,1.954727
2021-11-27,70113.96875,1.97764
2021-11-28,72853.359375,2.027038
2021-11-29,73636.023438,2.041331
2021-11-30,72827.109375,1.986462
2021-12-01,73320.28125,1.98286
2021-12-02,72396.257813,2.198847
2021-12-03,68866.242188,1.999955
2021-12-04,63216.015625,1.825409
